Listing files in s3://bos-ai-rtl-src-533335672315/rtl-sources/tt_20260221/...
Found 9465 RTL files
Batch 132: 6600/9465 triggered (success=6600, failed=0, rate=40.3/s, ETA=1.2min)
Batch 133: 6650/9465 triggered (success=6650, failed=0, rate=40.3/s, ETA=1.2min)
Batch 134: 6700/9465 triggered (success=6700, failed=0, rate=40.3/s, ETA=1.1min)
Batch 135: 6750/9465 triggered (success=6750, failed=0, rate=40.3/s, ETA=1.1min)
Batch 136: 6800/9465 triggered (success=6800, failed=0, rate=40.3/s, ETA=1.1min)
Batch 137: 6850/9465 triggered (success=6850, failed=0, rate=40.3/s, ETA=1.1min)
Batch 138: 6900/9465 triggered (success=6900, failed=0, rate=40.3/s, ETA=1.1min)
Batch 139: 6950/9465 triggered (success=6950, failed=0, rate=40.3/s, ETA=1.0min)
Batch 140: 7000/9465 triggered (success=7000, failed=0, rate=40.3/s, ETA=1.0min)
Batch 141: 7050/9465 triggered (success=7050, failed=0, rate=40.3/s, ETA=1.0min)
Batch 142: 7100/9465 triggered (success=7100, failed=0, rate=40.4/s, ETA=1.0min)
Batch 143: 7150/9465 triggered (success=7150, failed=0, rate=40.4/s, ETA=1.0min)
Batch 144: 7200/9465 triggered (success=7200, failed=0, rate=40.4/s, ETA=0.9min)
Batch 145: 7250/9465 triggered (success=7250, failed=0, rate=40.4/s, ETA=0.9min)
Batch 146: 7300/9465 triggered (success=7300, failed=0, rate=40.4/s, ETA=0.9min)
Batch 147: 7350/9465 triggered (success=7350, failed=0, rate=40.4/s, ETA=0.9min)
Batch 148: 7400/9465 triggered (success=7400, failed=0, rate=40.4/s, ETA=0.9min)
Batch 149: 7450/9465 triggered (success=7450, failed=0, rate=40.5/s, ETA=0.8min)
Batch 150: 7500/9465 triggered (success=7500, failed=0, rate=40.5/s, ETA=0.8min)
Batch 151: 7550/9465 triggered (success=7550, failed=0, rate=40.5/s, ETA=0.8min)
Batch 152: 7600/9465 triggered (success=7600, failed=0, rate=40.5/s, ETA=0.8min)
Batch 153: 7650/9465 triggered (success=7650, failed=0, rate=40.5/s, ETA=0.7min)
